	Paralogs
160	XP_005987000.1
161	XP_005987004.2
162	XP_005987007.1
163	XP_005987012.1
164	XP_005987015.1
165	XP_005987020.1
166	XP_005987022.1
167	XP_005987023.1
168	XP_005987029.1
169	XP_005987042.1
170	XP_005987046.1
171	XP_005987067.1
172	XP_005987068.1
173	XP_005987080.1
174	XP_005987092.1
175	XP_005987093.1
176	XP_005987100.1
177	XP_005987105.1
178	XP_005987116.1
179	XP_005987119.1
180	XP_005987120.1
181	XP_005987127.1
182	XP_005987128.1
183	XP_005987131.1
184	XP_005987133.1
185	XP_005987137.1
186	XP_005987138.1
187	XP_005987143.1
188	XP_005987164.1
189	XP_005987169.1
190	XP_005987175.2
191	XP_005987177.1
192	XP_005987179.1
193	XP_005987181.1
194	XP_005987197.1
195	XP_005987208.1
196	XP_005987213.1
197	XP_005987217.1
198	XP_005987218.1
199	XP_005987220.1
200	XP_005987221.1
201	XP_005987222.1
202	XP_005987223.1
203	XP_005987227.1
204	XP_005987234.1
205	XP_005987237.1
206	XP_005987240.1
207	XP_005987249.1
208	XP_005987265.1
209	XP_005987285.1
210	XP_005987287.1
211	XP_005987292.1
212	XP_005987294.1
213	XP_005987296.1
214	XP_005987302.2
215	XP_005987307.2
216	XP_005987309.1
217	XP_005987313.1
218	XP_005987321.1
219	XP_005987323.1
220	XP_005987327.1
221	XP_005987341.1
222	XP_005987343.1
223	XP_005987353.1
224	XP_005987361.1
225	XP_005987370.1
226	XP_005987381.1
227	XP_005987389.1
228	XP_005987394.1
229	XP_005987395.1
230	XP_005987396.1
231	XP_005987397.2
232	XP_005987407.1
233	XP_005987409.1
234	XP_005987411.1
235	XP_005987414.2
236	XP_005987417.1
237	XP_005987427.1
238	XP_005987430.1
239	XP_005987431.1
240	XP_005987433.1
241	XP_005987435.2
242	XP_005987438.1
243	XP_005987439.1
244	XP_005987442.1
245	XP_005987447.1
246	XP_005987448.1
247	XP_005987450.1
248	XP_005987455.1
249	XP_005987456.1
250	XP_005987466.1
251	XP_005987467.1
252	XP_005987472.1
253	XP_005987473.1
254	XP_005987481.1
255	XP_005987488.2
256	XP_005987501.1
257	XP_005987502.1
258	XP_005987510.1
259	XP_005987517.1
260	XP_005987536.1
261	XP_005987537.1
262	XP_005987541.1
263	XP_005987551.1
264	XP_005987555.1
265	XP_005987558.1
266	XP_005987559.1
267	XP_005987561.1
268	XP_005987565.1
269	XP_005987581.2
270	XP_005987600.1
271	XP_005987602.1
272	XP_005987633.1
273	XP_005987635.1
274	XP_005987636.1
275	XP_005987644.1
276	XP_005987652.1
277	XP_005987656.1
278	XP_005987661.1
279	XP_005987664.1
280	XP_005987666.1
281	XP_005987681.1
282	XP_005987682.1
283	XP_005987694.1
284	XP_005987696.1
285	XP_005987701.1
286	XP_005987703.1
287	XP_005987708.1
288	XP_005987715.1
289	XP_005987716.1
290	XP_005987721.1
291	XP_005987727.2
292	XP_005987730.1
293	XP_005987751.1
294	XP_005987754.1
295	XP_005987763.1
296	XP_005987777.1
297	XP_005987797.1
298	XP_005987800.1
299	XP_005987801.1
300	XP_005987802.1
301	XP_005987806.1
302	XP_005987811.1
303	XP_005987813.1
304	XP_005987814.1
305	XP_005987821.1
306	XP_005987823.1
307	XP_005987831.1
308	XP_005987842.1
309	XP_005987850.1
310	XP_005987852.1
311	XP_005987857.1
312	XP_005987858.1
313	XP_005987863.1
314	XP_005987886.1
315	XP_005987905.1
316	XP_005987906.2
317	XP_005987915.1
318	XP_005987917.1
319	XP_005987922.1
320	XP_005987934.1
321	XP_005987953.1
322	XP_005987978.1
323	XP_005988000.1
324	XP_005988007.1
325	XP_005988008.2
326	XP_005988013.1
327	XP_005988016.2
328	XP_005988027.1
329	XP_005988028.1
330	XP_005988030.1
331	XP_005988033.1
332	XP_005988042.1
333	XP_005988045.1
334	XP_005988048.1
335	XP_005988063.1
336	XP_005988070.1
337	XP_005988074.1
338	XP_005988076.1
339	XP_005988079.1
340	XP_005988103.1
341	XP_005988104.1
342	XP_005988114.1
343	XP_005988117.1
344	XP_005988125.1
345	XP_005988129.1
346	XP_005988157.1
347	XP_005988165.1
348	XP_005988167.1
349	XP_005988169.1
350	XP_005988177.1
351	XP_005988191.1
352	XP_005988192.1
353	XP_005988193.1
354	XP_005988198.1
355	XP_005988201.1
356	XP_005988202.1
357	XP_005988204.1
358	XP_005988206.1
359	XP_005988207.1
360	XP_005988208.1
361	XP_005988210.1
362	XP_005988223.1
363	XP_005988229.1
364	XP_005988230.1
365	XP_005988246.1
366	XP_005988249.1
367	XP_005988265.1
368	XP_005988266.1
369	XP_005988276.1
370	XP_005988278.1
371	XP_005988279.1
372	XP_005988280.1
373	XP_005988287.1
374	XP_005988289.1
375	XP_005988290.1
376	XP_005988307.1
377	XP_005988309.1
378	XP_005988314.1
379	XP_005988316.2
380	XP_005988317.1
381	XP_005988331.1
382	XP_005988332.1
383	XP_005988338.1
384	XP_005988341.1
385	XP_005988348.1
386	XP_005988354.1
387	XP_005988364.1
388	XP_005988365.1
389	XP_005988377.1
390	XP_005988398.1
391	XP_005988403.1
392	XP_005988411.2
393	XP_005988416.1
394	XP_005988417.1
395	XP_005988419.1
396	XP_005988430.1
397	XP_005988432.1
398	XP_005988434.1
399	XP_005988435.1
400	XP_005988445.1
401	XP_005988446.1
402	XP_005988447.1
403	XP_005988453.1
404	XP_005988454.1
405	XP_005988458.1
406	XP_005988462.1
407	XP_005988471.1
408	XP_005988472.1
409	XP_005988482.1
410	XP_005988491.1
411	XP_005988499.1
412	XP_005988512.2
413	XP_005988521.1
414	XP_005988524.1
415	XP_005988528.1
416	XP_005988532.1
417	XP_005988555.1
418	XP_005988560.1
419	XP_005988572.1
420	XP_005988575.1
421	XP_005988583.1
422	XP_005988591.2
423	XP_005988596.1
424	XP_005988609.1
425	XP_005988626.1
426	XP_005988628.1
427	XP_005988630.1
428	XP_005988632.1
429	XP_005988634.1
430	XP_005988635.1
431	XP_005988640.1
432	XP_005988645.1
433	XP_005988648.1
434	XP_005988652.1
435	XP_005988660.1
436	XP_005988668.1
437	XP_005988680.2
438	XP_005988684.1
439	XP_005988685.1
440	XP_005988689.1
441	XP_005988708.1
442	XP_005988723.1
443	XP_005988725.1
444	XP_005988732.1
445	XP_005988733.1
446	XP_005988735.1
447	XP_005988754.1
448	XP_005988764.1
449	XP_005988769.1
450	XP_005988799.1
451	XP_005988802.1
452	XP_005988804.1
453	XP_005988806.1
454	XP_005988807.1
455	XP_005988808.1
456	XP_005988818.1
457	XP_005988821.1
458	XP_005988826.1
459	XP_005988829.1
460	XP_005988830.1
461	XP_005988831.1
462	XP_005988832.1
463	XP_005988834.1
464	XP_005988849.1
465	XP_005988850.2
466	XP_005988863.1
467	XP_005988868.1
468	XP_005988874.1
469	XP_005988883.1
470	XP_005988891.1
471	XP_005988893.1
472	XP_005988895.1
473	XP_005988898.1
474	XP_005988903.1
475	XP_005988909.1
476	XP_005988914.1
477	XP_005988915.2
478	XP_005988918.1
479	XP_005988935.1
480	XP_005988943.1
481	XP_005988944.1
482	XP_005988959.1
483	XP_005988964.1
484	XP_005988975.1
485	XP_005988982.1
486	XP_005988983.1
487	XP_005988984.1
488	XP_005988988.1
489	XP_005988989.1
490	XP_005988995.1
491	XP_005988996.1
492	XP_005989001.1
493	XP_005989009.2
494	XP_005989015.1
495	XP_005989016.1
496	XP_005989018.1
497	XP_005989023.1
498	XP_005989025.1
499	XP_005989033.1
500	XP_005989036.1
501	XP_005989040.1
502	XP_005989041.1
503	XP_005989049.1
504	XP_005989060.1
505	XP_005989082.1
506	XP_005989089.1
507	XP_005989097.1
508	XP_005989103.1
509	XP_005989104.1
510	XP_005989110.1
511	XP_005989118.1
512	XP_005989120.1
513	XP_005989121.1
514	XP_005989129.1
515	XP_005989137.2
516	XP_005989140.1
517	XP_005989142.1
518	XP_005989155.1
519	XP_005989162.1
520	XP_005989170.2
521	XP_005989174.2
522	XP_005989186.1
523	XP_005989213.1
524	XP_005989218.1
525	XP_005989232.1
526	XP_005989237.1
527	XP_005989238.1
528	XP_005989239.1
529	XP_005989240.1
530	XP_005989241.1
531	XP_005989247.1
532	XP_005989257.1
533	XP_005989267.1
534	XP_005989270.2
535	XP_005989272.1
536	XP_005989290.1
537	XP_005989291.1
538	XP_005989300.1
539	XP_005989301.1
540	XP_005989314.1
541	XP_005989316.1
542	XP_005989325.1
543	XP_005989330.1
544	XP_005989344.1
545	XP_005989346.1
546	XP_005989347.1
547	XP_005989352.1
548	XP_005989358.1
549	XP_005989383.1
550	XP_005989391.1
551	XP_005989398.1
552	XP_005989403.1
553	XP_005989411.1
554	XP_005989422.1
555	XP_005989425.1
556	XP_005989426.1
557	XP_005989427.1
558	XP_005989428.1
559	XP_005989432.1
560	XP_005989434.1
561	XP_005989436.1
562	XP_005989438.1
563	XP_005989448.1
564	XP_005989454.1
565	XP_005989462.1
566	XP_005989466.1
567	XP_005989467.2
568	XP_005989468.1
569	XP_005989481.1
570	XP_005989485.1
571	XP_005989487.1
572	XP_005989496.2
573	XP_005989506.1
574	XP_005989507.1
575	XP_005989510.1
576	XP_005989513.1
577	XP_005989516.1
578	XP_005989528.1
579	XP_005989533.1
580	XP_005989538.1
581	XP_005989541.1
582	XP_005989545.1
583	XP_005989547.1
584	XP_005989550.2
585	XP_005989558.1
586	XP_005989564.1
587	XP_005989566.1
588	XP_005989574.1
589	XP_005989575.1
590	XP_005989576.1
591	XP_005989577.1
592	XP_005989578.1
593	XP_005989585.1
594	XP_005989588.1
595	XP_005989589.1
596	XP_005989590.1
597	XP_005989600.1
598	XP_005989609.1
599	XP_005989616.1
600	XP_005989624.1
601	XP_005989627.1
602	XP_005989634.2
603	XP_005989652.1
604	XP_005989658.1
605	XP_005989659.1
606	XP_005989660.1
607	XP_005989661.1
608	XP_005989662.1
609	XP_005989678.1
610	XP_005989682.1
611	XP_005989687.2
612	XP_005989703.1
613	XP_005989708.1
614	XP_005989710.1
615	XP_005989728.1
616	XP_005989732.1
617	XP_005989738.1
618	XP_005989743.1
619	XP_005989752.1
620	XP_005989755.1
621	XP_005989775.1
622	XP_005989780.1
623	XP_005989783.1
624	XP_005989789.2
625	XP_005989801.1
626	XP_005989808.1
627	XP_005989811.1
628	XP_005989813.1
629	XP_005989823.1
630	XP_005989824.1
631	XP_005989836.1
632	XP_005989838.1
633	XP_005989841.1
634	XP_005989865.2
635	XP_005989874.1
636	XP_005989876.1
637	XP_005989877.1
638	XP_005989878.1
639	XP_005989881.1
640	XP_005989884.1
641	XP_005989895.1
642	XP_005989901.1
643	XP_005989906.1
644	XP_005989909.1
645	XP_005989911.1
646	XP_005989923.2
647	XP_005989930.1
648	XP_005989932.1
649	XP_005989935.1
650	XP_005989940.1
651	XP_005989957.1
652	XP_005989960.1
653	XP_005989961.1
654	XP_005989970.1
655	XP_005990019.1
656	XP_005990025.1
657	XP_005990026.1
658	XP_005990028.1
659	XP_005990029.1
660	XP_005990053.1
661	XP_005990060.1
662	XP_005990062.1
663	XP_005990077.1
664	XP_005990104.1
665	XP_005990105.1
666	XP_005990124.1
667	XP_005990128.1
668	XP_005990138.1
669	XP_005990145.2
670	XP_005990163.1
671	XP_005990175.1
672	XP_005990184.1
673	XP_005990187.1
674	XP_005990195.1
675	XP_005990196.1
676	XP_005990198.1
677	XP_005990207.1
678	XP_005990223.1
679	XP_005990226.1
680	XP_005990228.1
681	XP_005990237.1
682	XP_005990242.1
683	XP_005990249.1
684	XP_005990257.1
685	XP_005990265.1
686	XP_005990272.1
687	XP_005990282.1
688	XP_005990283.1
689	XP_005990287.1
690	XP_005990304.1
691	XP_005990311.1
692	XP_005990315.1
693	XP_005990317.1
694	XP_005990318.1
695	XP_005990328.1
696	XP_005990334.1
697	XP_005990358.1
698	XP_005990359.1
699	XP_005990360.1
700	XP_005990361.1
701	XP_005990366.1
702	XP_005990367.1
703	XP_005990368.1
704	XP_005990379.1
705	XP_005990385.1
706	XP_005990386.1
707	XP_005990390.1
708	XP_005990396.1
709	XP_005990397.1
710	XP_005990402.1
711	XP_005990404.1
712	XP_005990416.1
713	XP_005990419.1
714	XP_005990422.1
715	XP_005990427.1
716	XP_005990433.1
717	XP_005990434.1
718	XP_005990435.1
719	XP_005990441.1
720	XP_005990448.1
721	XP_005990459.1
722	XP_005990468.1
723	XP_005990473.1
724	XP_005990479.1
725	XP_005990481.1
726	XP_005990483.1
727	XP_005990487.1
728	XP_005990488.1
729	XP_005990491.1
730	XP_005990511.1
731	XP_005990515.2
732	XP_005990532.1
733	XP_005990533.1
734	XP_005990535.1
735	XP_005990544.1
736	XP_005990545.1
737	XP_005990546.1
738	XP_005990573.1
739	XP_005990577.1
740	XP_005990582.1
741	XP_005990601.1
742	XP_005990602.1
743	XP_005990609.1
744	XP_005990619.1
745	XP_005990634.1
746	XP_005990637.1
747	XP_005990638.1
748	XP_005990641.1
749	XP_005990661.1
750	XP_005990669.1
751	XP_005990672.1
752	XP_005990674.1
753	XP_005990675.1
754	XP_005990680.1
755	XP_005990683.1
756	XP_005990685.1
757	XP_005990691.1
758	XP_005990692.1
759	XP_005990700.1
760	XP_005990726.1
761	XP_005990727.1
762	XP_005990737.1
763	XP_005990738.1
764	XP_005990740.1
765	XP_005990743.2
766	XP_005990749.1
767	XP_005990757.1
768	XP_005990760.1
769	XP_005990765.1
770	XP_005990766.1
771	XP_005990770.1
772	XP_005990773.1
773	XP_005990786.1
774	XP_005990787.1
775	XP_005990800.1
776	XP_005990805.1
777	XP_005990808.1
778	XP_005990814.1
779	XP_005990828.1
780	XP_005990837.1
781	XP_005990850.2
782	XP_005990862.1
783	XP_005990863.1
784	XP_005990866.1
785	XP_005990876.1
786	XP_005990884.1
787	XP_005990889.1
788	XP_005990892.1
789	XP_005990898.1
790	XP_005990906.1
791	XP_005990924.2
792	XP_005990927.1
793	XP_005990931.1
794	XP_005990936.1
795	XP_005990940.1
796	XP_005990941.1
797	XP_005990946.1
798	XP_005990948.1
799	XP_005990949.1
800	XP_005990957.1
801	XP_005990958.1
802	XP_005990962.1
803	XP_005990972.1
804	XP_005990975.1
805	XP_005990987.1
806	XP_005990996.1
807	XP_005990999.1
808	XP_005991002.1
809	XP_005991009.1
810	XP_005991013.1
811	XP_005991020.2
812	XP_005991021.1
813	XP_005991022.1
814	XP_005991031.1
815	XP_005991036.1
816	XP_005991042.1
817	XP_005991060.1
818	XP_005991076.1
819	XP_005991079.1
820	XP_005991085.1
821	XP_005991087.1
822	XP_005991094.2
823	XP_005991099.1
824	XP_005991104.1
825	XP_005991119.1
826	XP_005991126.1
827	XP_005991139.1
828	XP_005991140.1
829	XP_005991146.2
830	XP_005991156.1
831	XP_005991157.1
832	XP_005991185.1
833	XP_005991187.1
834	XP_005991188.1
835	XP_005991194.1
836	XP_005991197.1
837	XP_005991200.2
838	XP_005991218.1
839	XP_005991219.1
840	XP_005991224.1
841	XP_005991227.1
842	XP_005991231.1
843	XP_005991232.1
844	XP_005991233.1
845	XP_005991236.1
846	XP_005991254.1
847	XP_005991255.2
848	XP_005991256.2
849	XP_005991258.1
850	XP_005991261.1
851	XP_005991265.1
852	XP_005991272.1
853	XP_005991280.1
854	XP_005991284.1
855	XP_005991286.1
856	XP_005991287.1
857	XP_005991289.1
858	XP_005991296.1
859	XP_005991300.1
860	XP_005991303.1
861	XP_005991308.1
862	XP_005991313.1
863	XP_005991317.1
864	XP_005991318.1
865	XP_005991337.1
866	XP_005991338.1
867	XP_005991342.1
868	XP_005991343.1
869	XP_005991352.1
870	XP_005991354.1
871	XP_005991366.1
872	XP_005991379.1
873	XP_005991382.1
874	XP_005991384.1
875	XP_005991406.1
876	XP_005991413.1
877	XP_005991416.1
878	XP_005991426.1
879	XP_005991434.1
880	XP_005991438.1
881	XP_005991463.2
882	XP_005991473.1
883	XP_005991475.1
884	XP_005991477.1
885	XP_005991479.1
886	XP_005991482.1
887	XP_005991501.1
888	XP_005991515.1
889	XP_005991534.1
890	XP_005991550.1
891	XP_005991551.2
892	XP_005991558.1
893	XP_005991564.1
894	XP_005991567.1
895	XP_005991578.1
896	XP_005991586.1
897	XP_005991590.1
898	XP_005991607.1
899	XP_005991608.1
900	XP_005991613.1
901	XP_005991614.1
902	XP_005991617.1
903	XP_005991624.1
904	XP_005991626.1
905	XP_005991627.1
906	XP_005991629.1
907	XP_005991633.1
908	XP_005991649.1
909	XP_005991661.1
910	XP_005991663.1
911	XP_005991671.1
912	XP_005991672.1
913	XP_005991674.1
914	XP_005991675.2
915	XP_005991699.1
916	XP_005991709.1
917	XP_005991717.1
918	XP_005991720.1
919	XP_005991749.1
920	XP_005991753.1
921	XP_005991756.1
922	XP_005991766.1
923	XP_005991767.1
924	XP_005991787.1
925	XP_005991790.1
926	XP_005991792.1
927	XP_005991797.1
928	XP_005991799.1
929	XP_005991804.1
930	XP_005991812.1
931	XP_005991815.1
932	XP_005991816.1
933	XP_005991818.1
934	XP_005991823.1
935	XP_005991827.2
936	XP_005991833.2
937	XP_005991841.1
938	XP_005991844.1
939	XP_005991848.1
940	XP_005991859.1
941	XP_005991870.1
942	XP_005991880.1
943	XP_005991884.1
944	XP_005991890.1
945	XP_005991896.1
946	XP_005991910.1
947	XP_005991913.1
948	XP_005991914.1
949	XP_005991915.1
950	XP_005991930.1
951	XP_005991933.1
952	XP_005991942.1
953	XP_005991970.1
954	XP_005991974.1
955	XP_005991976.1
956	XP_005991978.1
957	XP_005991985.1
958	XP_005991996.1
959	XP_005991997.1
960	XP_005992000.1
961	XP_005992002.1
962	XP_005992003.1
963	XP_005992005.1
964	XP_005992006.1
965	XP_005992047.1
966	XP_005992049.1
967	XP_005992053.2
968	XP_005992054.1
969	XP_005992065.1
970	XP_005992068.1
971	XP_005992090.1
972	XP_005992095.1
973	XP_005992104.2
974	XP_005992113.1
975	XP_005992118.1
976	XP_005992127.1
977	XP_005992129.1
978	XP_005992131.1
979	XP_005992136.1
980	XP_005992143.1
981	XP_005992144.1
982	XP_005992145.1
983	XP_005992146.1
984	XP_005992154.1
985	XP_005992155.1
986	XP_005992157.1
987	XP_005992159.1
988	XP_005992165.1
989	XP_005992168.1
990	XP_005992169.2
991	XP_005992170.1
992	XP_005992171.1
993	XP_005992175.1
994	XP_005992182.1
995	XP_005992183.1
996	XP_005992209.1
997	XP_005992215.1
998	XP_005992221.1
999	XP_005992223.1
1000	XP_005992232.1
1001	XP_005992237.1
1002	XP_005992245.1
1003	XP_005992246.1
1004	XP_005992257.1
1005	XP_005992266.1
1006	XP_005992277.1
1007	XP_005992280.1
1008	XP_005992287.1
1009	XP_005992296.1
1010	XP_005992297.1
1011	XP_005992301.1
1012	XP_005992311.1
1013	XP_005992321.2
1014	XP_005992326.1
1015	XP_005992331.1
1016	XP_005992335.1
1017	XP_005992336.1
1018	XP_005992338.1
1019	XP_005992340.2
1020	XP_005992341.1
1021	XP_005992347.1
1022	XP_005992348.1
1023	XP_005992351.1
1024	XP_005992374.1
1025	XP_005992375.1
1026	XP_005992392.1
1027	XP_005992394.1
1028	XP_005992398.1
1029	XP_005992406.1
1030	XP_005992410.1
1031	XP_005992413.1
1032	XP_005992418.1
1033	XP_005992421.1
1034	XP_005992439.1
1035	XP_005992442.1
1036	XP_005992463.1
1037	XP_005992472.1
1038	XP_005992482.1
1039	XP_005992485.1
1040	XP_005992487.2
1041	XP_005992488.1
1042	XP_005992501.1
1043	XP_005992505.1
1044	XP_005992507.1
1045	XP_005992512.1
1046	XP_005992527.1
1047	XP_005992529.1
1048	XP_005992530.1
1049	XP_005992534.1
1050	XP_005992538.1
1051	XP_005992540.1
1052	XP_005992542.1
1053	XP_005992559.1
1054	XP_005992566.1
1055	XP_005992572.1
1056	XP_005992573.1
1057	XP_005992574.1
1058	XP_005992582.1
1059	XP_005992585.1
1060	XP_005992590.1
1061	XP_005992592.1
1062	XP_005992593.2
1063	XP_005992594.1
1064	XP_005992595.1
1065	XP_005992604.1
1066	XP_005992627.1
1067	XP_005992640.1
1068	XP_005992654.1
1069	XP_005992655.1
1070	XP_005992660.1
1071	XP_005992661.1
1072	XP_005992662.2
1073	XP_005992665.1
1074	XP_005992666.1
1075	XP_005992670.1
1076	XP_005992674.1
1077	XP_005992679.1
1078	XP_005992682.1
1079	XP_005992688.1
1080	XP_005992690.1
1081	XP_005992692.1
1082	XP_005992693.1
1083	XP_005992699.1
1084	XP_005992708.2
1085	XP_005992715.1
1086	XP_005992720.1
1087	XP_005992726.1
1088	XP_005992735.1
1089	XP_005992754.1
1090	XP_005992760.2
1091	XP_005992762.2
1092	XP_005992774.1
1093	XP_005992776.1
1094	XP_005992795.1
1095	XP_005992804.1
1096	XP_005992813.1
1097	XP_005992823.2
1098	XP_005992828.1
1099	XP_005992838.1
1100	XP_005992848.1
1101	XP_005992850.1
1102	XP_005992852.1
1103	XP_005992855.1
1104	XP_005992857.1
1105	XP_005992859.1
1106	XP_005992865.1
1107	XP_005992874.1
1108	XP_005992876.1
1109	XP_005992878.1
1110	XP_005992879.1
1111	XP_005992886.1
1112	XP_005992894.1
1113	XP_005992909.1
1114	XP_005992910.1
1115	XP_005992915.1
1116	XP_005992917.1
1117	XP_005992932.1
1118	XP_005992939.1
1119	XP_005992943.2
1120	XP_005992946.1
1121	XP_005992952.1
1122	XP_005992953.1
1123	XP_005992955.1
1124	XP_005992959.1
1125	XP_005992969.1
1126	XP_005992974.1
1127	XP_005992975.1
1128	XP_005992983.1
1129	XP_005992984.1
1130	XP_005992995.1
1131	XP_005993000.1
1132	XP_005993003.1
1133	XP_005993008.1
1134	XP_005993014.1
1135	XP_005993025.1
1136	XP_005993031.1
1137	XP_005993032.1
1138	XP_005993034.1
1139	XP_005993043.1
1140	XP_005993044.2
1141	XP_005993045.1
1142	XP_005993048.1
1143	XP_005993061.1
1144	XP_005993064.1
1145	XP_005993066.1
1146	XP_005993082.1
1147	XP_005993094.1
1148	XP_005993096.1
1149	XP_005993097.1
1150	XP_005993099.1
1151	XP_005993108.1
1152	XP_005993111.1
1153	XP_005993119.1
1154	XP_005993124.1
1155	XP_005993126.2
1156	XP_005993132.1
1157	XP_005993140.1
1158	XP_005993148.1
1159	XP_005993155.1
1160	XP_005993169.1
1161	XP_005993171.1
1162	XP_005993185.1
1163	XP_005993190.1
1164	XP_005993193.2
1165	XP_005993195.1
1166	XP_005993217.1
1167	XP_005993231.1
1168	XP_005993236.1
1169	XP_005993241.1
1170	XP_005993256.1
1171	XP_005993263.2
1172	XP_005993268.1
1173	XP_005993272.1
1174	XP_005993277.1
1175	XP_005993282.1
1176	XP_005993284.1
1177	XP_005993311.1
1178	XP_005993315.1
1179	XP_005993316.1
1180	XP_005993319.1
1181	XP_005993320.1
1182	XP_005993321.1
1183	XP_005993325.2
1184	XP_005993326.1
1185	XP_005993332.1
1186	XP_005993337.1
1187	XP_005993349.1
1188	XP_005993355.1
1189	XP_005993360.2
1190	XP_005993361.1
1191	XP_005993379.1
1192	XP_005993383.1
1193	XP_005993385.1
1194	XP_005993387.1
1195	XP_005993388.1
1196	XP_005993403.1
1197	XP_005993406.1
1198	XP_005993408.1
1199	XP_005993409.1
1200	XP_005993412.1
1201	XP_005993413.1
1202	XP_005993415.1
1203	XP_005993426.1
1204	XP_005993428.1
1205	XP_005993431.1
1206	XP_005993432.1
1207	XP_005993433.1
1208	XP_005993436.1
1209	XP_005993437.1
1210	XP_005993438.1
1211	XP_005993440.1
1212	XP_005993446.1
1213	XP_005993453.1
1214	XP_005993454.1
1215	XP_005993455.1
1216	XP_005993462.1
1217	XP_005993464.1
1218	XP_005993471.1
1219	XP_005993475.1
1220	XP_005993486.1
1221	XP_005993494.1
1222	XP_005993498.1
1223	XP_005993513.1
1224	XP_005993529.1
1225	XP_005993531.1
1226	XP_005993537.1
1227	XP_005993553.1
1228	XP_005993554.1
1229	XP_005993564.1
1230	XP_005993567.1
1231	XP_005993570.1
1232	XP_005993585.1
1233	XP_005993588.1
1234	XP_005993589.1
1235	XP_005993590.1
1236	XP_005993600.1
1237	XP_005993610.1
1238	XP_005993614.1
1239	XP_005993615.1
1240	XP_005993617.1
1241	XP_005993618.1
1242	XP_005993627.1
1243	XP_005993637.1
1244	XP_005993663.1
1245	XP_005993670.1
1246	XP_005993676.1
1247	XP_005993698.1
1248	XP_005993699.1
