	Gene1 (Latimeria)	Score1	Gene2 (Danio)	Score2
120	XP_005986326.1	349 	XP_009301047.2	349 
121	XP_005986340.1	578 	XP_001343517.1	612 
122	XP_005986342.1	1677	NP_571367.1	1639
123	XP_005986344.1	1579	XP_005166920.1	1535
124	XP_005986345.1	321 	NP_001070764.1	321 
125	XP_005986353.2	1585	XP_005162274.1	1587
126	XP_005986359.1	337 	NP_001035013.1	351 
127	XP_005986364.1	216 	NP_001073494.1	213 
128	XP_005986366.1	540 	NP_998028.1	562 
129	XP_005986371.1	631 	XP_017211993.1	631 
130	XP_005986373.1	579 	NP_001092707.2	552 
131	XP_005986377.2	694 	NP_001298720.1	694 
132	XP_005986386.1	407 	NP_919352.1	406 
133	XP_005986391.1	262 	NP_001018314.1	270 
134	XP_005986395.1	759 	XP_005172184.2	760 
135	XP_005986401.1	390 	XP_021329368.1	384 
136	XP_005986409.1	1429	XP_021335227.1	1415
137	XP_005986412.2	380 	XP_009301048.1	371 
138	XP_005986415.1	1086	XP_021333011.1	1128
139	XP_005986421.1	106 	NP_001314857.1	84.0
140	XP_005986422.1	775 	NP_999985.1	775 
141	XP_005986426.1	889 	XP_021322776.1	889 
142	XP_005986428.1	580 	XP_005158619.1	591 
143	XP_005986434.1	220 	XP_021324088.1	221 
144	XP_005986435.1	330 	NP_001020718.2	330 
145	XP_005986436.1	1519	NP_571937.1	1522
146	XP_005986437.1	1458	XP_005160542.1	1463
147	XP_005986443.1	886 	XP_005160551.1	887 
148	XP_005986450.1	632 	NP_999962.1	640 
149	XP_005986452.1	336 	XP_695788.1	340 
150	XP_005986457.1	521 	XP_001343219.1	516 
151	XP_005986459.1	354 	NP_001161430.1	338 
152	XP_005986461.1	874 	NP_919396.1	821 
153	XP_005986465.1	360 	NP_001038266.1	375 
154	XP_005986473.1	269 	NP_956548.1	268 
155	XP_005986474.1	885 	NP_001296971.1	908 
156	XP_005986477.1	560 	XP_009305612.1	560 
157	XP_005986478.1	433 	NP_571793.2	435 
158	XP_005986479.1	442 	XP_017214224.1	442 
159	XP_005986482.1	551 	NP_996978.1	551 
160	XP_005986483.1	450 	NP_957399.1	421 
161	XP_005986486.1	695 	NP_571504.1	699 
162	XP_005986487.1	450 	NP_001038811.1	429 
163	XP_005986488.1	533 	NP_956776.2	533 
164	XP_005986491.1	557 	XP_021332722.1	557 
165	XP_005986492.1	674 	XP_686241.1	705 
166	XP_005986493.1	624 	NP_999896.3	613 
167	XP_005986494.1	1077	NP_997852.1	1074
168	XP_005986498.1	607 	NP_001245157.1	626 
169	XP_005986508.2	474 	NP_001025358.1	498 
170	XP_005986515.1	1269	NP_001107268.1	1269
171	XP_005986516.1	576 	XP_005158951.1	564 
172	XP_005986517.1	541 	XP_009291522.1	540 
173	XP_005986518.1	759 	NP_001002616.1	759 
174	XP_005986520.1	660 	NP_001019983.2	643 
175	XP_005986529.1	157 	XP_704272.2	174 
176	XP_005986532.1	374 	NP_001129727.2	374 
177	XP_005986533.1	922 	XP_009291182.1	877 
178	XP_005986535.2	269 	NP_001028278.1	269 
179	XP_005986538.1	283 	XP_005157047.1	269 
180	XP_005986540.1	558 	NP_571417.1	558 
181	XP_005986543.1	383 	NP_001019561.1	383 
182	XP_005986546.1	775 	NP_001003832.1	775 
183	XP_005986547.1	687 	XP_005169876.1	694 
184	XP_005986549.1	572 	XP_685017.4	569 
185	XP_005986552.1	284 	NP_001025421.1	259 
186	XP_005986560.1	169 	XP_009305725.1	169 
187	XP_005986572.1	704 	XP_688103.5	722 
188	XP_005986574.2	124 	NP_999858.2	124 
189	XP_005986575.1	1291	NP_001002726.2	1314
190	XP_005986584.1	557 	NP_001020695.2	551 
191	XP_005986588.1	110 	NP_001314832.1	119 
192	XP_005986589.1	294 	XP_021328888.1	301 
193	XP_005986591.1	345 	NP_001002481.1	345 
194	XP_005986595.2	349 	NP_001083015.1	349 
195	XP_005986600.1	659 	NP_919367.2	659 
196	XP_005986603.1	674 	XP_005160925.1	674 
197	XP_005986608.1	150 	XP_005160917.1	150 
198	XP_005986611.1	355 	NP_991132.1	306 
199	XP_005986613.1	365 	NP_999863.1	370 
200	XP_005986614.1	1180	XP_021323186.1	1184
201	XP_005986617.1	136 	XP_001339930.3	129 
202	XP_005986618.1	481 	XP_021325637.1	501 
203	XP_005986622.1	466 	XP_021325638.1	466 
204	XP_005986624.1	600 	NP_998068.1	608 
205	XP_005986625.1	375 	NP_001119891.1	384 
206	XP_005986626.1	501 	XP_002665866.3	502 
207	XP_005986627.2	948 	NP_001002374.1	948 
208	XP_005986628.1	198 	NP_001071264.1	198 
209	XP_005986630.1	300 	XP_005160632.1	308 
210	XP_005986631.1	159 	NP_001314830.1	159 
211	XP_005986634.1	178 	XP_021322779.1	178 
212	XP_005986636.1	380 	NP_001017601.1	366 
213	XP_005986639.1	623 	NP_958895.1	652 
214	XP_005986640.1	298 	XP_005159002.1	298 
215	XP_005986643.1	1457	NP_001038274.1	1425
216	XP_005986647.1	398 	XP_009305708.1	395 
217	XP_005986648.1	585 	XP_005156878.1	561 
218	XP_005986649.1	1955	XP_021336165.1	2024
219	XP_005986654.1	450 	NP_001307461.1	446 
220	XP_005986658.1	1394	XP_017207953.1	1349
221	XP_005986661.1	602 	NP_999924.1	602 
222	XP_005986666.1	840 	NP_998576.1	828 
223	XP_005986668.1	599 	XP_001922368.1	599 
224	XP_005986671.1	31.2	NP_001020723.2	34.7
225	XP_005986673.1	1503	XP_005160643.1	1533
226	XP_005986677.1	670 	XP_005169840.1	644 
227	XP_005986681.1	128 	XP_021322757.1	128 
228	XP_005986692.2	671 	XP_005162924.1	671 
229	XP_005986693.1	687 	NP_001070608.1	687 
230	XP_005986696.2	500 	NP_001121764.2	499 
231	XP_005986698.1	384 	XP_009291499.1	384 
232	XP_005986702.1	84.3	XP_002665769.1	93.2
233	XP_005986704.1	496 	XP_698551.4	515 
234	XP_005986708.1	917 	NP_956462.1	942 
235	XP_005986713.1	604 	XP_005171903.1	605 
236	XP_005986714.1	726 	NP_956588.1	738 
237	XP_005986728.1	531 	NP_001004114.1	511 
238	XP_005986731.1	564 	XP_005162043.1	564 
239	XP_005986732.1	889 	NP_001292543.1	889 
240	XP_005986734.1	1257	NP_571644.1	1277
241	XP_005986736.1	3283	NP_001311408.1	3261
242	XP_005986741.1	664 	NP_001006104.1	664 
243	XP_005986743.1	283 	NP_956304.2	283 
244	XP_005986749.1	203 	XP_001336048.1	189 
245	XP_005986752.1	214 	XP_684531.2	214 
246	XP_005986753.1	432 	XP_002662598.5	431 
247	XP_005986763.1	371 	NP_001070836.1	357 
248	XP_005986767.1	456 	NP_001006072.1	456 
249	XP_005986772.1	432 	NP_001077300.1	432 
250	XP_005986774.1	645 	NP_956844.1	649 
251	XP_005986784.1	694 	NP_001003856.1	694 
252	XP_005986787.1	861 	XP_017213694.1	842 
253	XP_005986788.1	1278	XP_690372.5	1324
254	XP_005986791.1	528 	NP_001032470.1	503 
255	XP_005986792.1	142 	NP_957091.1	142 
256	XP_005986793.1	735 	NP_001028277.1	735 
257	XP_005986794.1	725 	NP_957309.1	725 
258	XP_005986795.1	215 	NP_001119581.1	234 
259	XP_005986799.1	337 	XP_002667026.1	337 
260	XP_005986800.1	995 	XP_699803.4	995 
261	XP_005986801.1	675 	NP_001001834.2	675 
262	XP_005986802.1	2100	NP_919388.1	2075
263	XP_005986805.1	324 	NP_942108.1	325 
264	XP_005986807.1	218 	NP_956144.2	218 
265	XP_005986809.1	107 	XP_021325550.1	115 
266	XP_005986811.1	254 	XP_001918997.4	441 
267	XP_005986813.1	707 	NP_001171884.1	684 
268	XP_005986815.1	238 	NP_999904.1	238 
269	XP_005986816.1	1357	NP_001289155.1	1350
270	XP_005986818.1	173 	NP_957482.1	173 
271	XP_005986819.1	808 	NP_954688.1	794 
272	XP_005986820.1	65.9	XP_005172170.1	77.4
273	XP_005986825.1	250 	NP_998076.1	250 
274	XP_005986828.2	233 	XP_005172008.1	251 
275	XP_005986829.1	214 	NP_001014362.1	218 
276	XP_005986830.1	523 	XP_005171926.1	510 
277	XP_005986831.1	821 	NP_001093449.1	804 
278	XP_005986840.2	256 	XP_021329305.1	256 
279	XP_005986845.1	649 	NP_001003867.2	649 
280	XP_005986846.1	819 	XP_021325551.1	803 
281	XP_005986849.1	464 	XP_021334839.1	468 
282	XP_005986853.2	194 	NP_001186604.1	194 
283	XP_005986854.1	1283	XP_695811.2	1306
284	XP_005986861.1	253 	NP_001018371.2	253 
285	XP_005986871.1	381 	NP_998393.2	419 
286	XP_005986873.1	3100	NP_001268397.1	3066
287	XP_005986875.1	1205	XP_021337158.1	1222
288	XP_005986877.1	643 	NP_570989.2	651 
289	XP_005986878.1	1019	NP_571126.1	1014
290	XP_005986880.1	488 	NP_001007341.1	441 
291	XP_005986882.1	1129	NP_997798.1	1129
292	XP_005986883.1	289 	NP_001107879.1	289 
293	XP_005986885.1	500 	NP_001108044.2	473 
294	XP_005986887.1	149 	NP_956567.1	150 
295	XP_005986891.2	462 	NP_001093518.1	462 
296	XP_005986892.1	763 	NP_571291.1	763 
297	XP_005986893.1	439 	NP_001258768.1	537 
298	XP_005986896.1	302 	NP_956333.1	302 
299	XP_005986908.1	640 	NP_001120779.1	657 
300	XP_005986909.1	80.5	NP_001093533.1	77.0
301	XP_005986915.1	449 	NP_001076348.1	449 
302	XP_005986916.1	172 	XP_005172774.1	172 
303	XP_005986917.1	1104	XP_005172052.1	1128
304	XP_005986921.1	50.1	NP_991203.1	54.3
305	XP_005986922.1	632 	NP_997932.1	669 
306	XP_005986923.1	240 	NP_998330.1	223 
307	XP_005986924.1	769 	NP_001070841.2	769 
308	XP_005986926.1	1772	NP_001334601.1	1742
309	XP_005986928.1	1013	NP_571586.1	1013
310	XP_005986930.1	110 	XP_696713.3	541 
311	XP_005986931.1	1587	NP_001159677.1	1585
312	XP_005986934.2	72.4	NP_001076365.2	72.4
313	XP_005986939.1	3148	NP_001005391.2	3148
314	XP_005986944.2	243 	XP_005157664.1	243 
315	XP_005986946.1	2335	XP_686236.6	2323
316	XP_005986949.1	758 	XP_017211707.1	818 
317	XP_005986952.1	396 	XP_003200943.1	379 
318	XP_005986956.1	842 	NP_001036156.1	863 
319	XP_005986958.1	135 	XP_021332328.1	150 
320	XP_005986965.1	1272	XP_009300172.1	1295
321	XP_005986966.1	621 	NP_571460.2	604 
322	XP_005986969.1	851 	NP_955834.2	850 
323	XP_005986970.1	407 	NP_957175.1	407 
324	XP_005986971.1	76.6	XP_002666934.1	100 
325	XP_005986972.1	805 	XP_005163034.1	812 
326	XP_005986974.1	1310	NP_001008400.1	1310
327	XP_005986975.1	579 	XP_001340966.1	579 
328	XP_005986976.1	313 	NP_997828.1	313 
329	XP_005986980.1	338 	XP_021333138.1	305 
330	XP_005986981.1	1431	XP_693848.3	1410
331	XP_005986982.1	1353	XP_005174336.1	1332
332	XP_005986985.1	143 	NP_001005996.1	174 
333	XP_005986986.1	687 	XP_021326154.1	687 
334	XP_005986987.2	624 	XP_009301942.1	621 
335	XP_005986988.1	679 	XP_021326294.1	700 
336	XP_005986989.1	558 	XP_021326292.1	577 
337	XP_005986990.1	148 	NP_571145.1	160 
338	XP_005986991.1	632 	XP_001922442.1	635 
339	XP_005986993.1	493 	NP_001003734.1	493 
340	XP_005986995.1	295 	XP_002662894.2	295 
341	XP_005986997.1	713 	XP_005169022.1	721 
342	XP_005986998.1	490 	XP_687728.1	488 
343	XP_005987000.1	291 	NP_001315298.1	291 
344	XP_005987003.1	504 	NP_001013355.1	505 
345	XP_005987004.2	564 	XP_009301745.2	514 
346	XP_005987007.1	711 	NP_840090.1	711 
347	XP_005987011.1	907 	NP_956503.1	907 
348	XP_005987012.1	281 	NP_001073656.1	281 
349	XP_005987015.1	248 	NP_991319.2	249 
350	XP_005987016.1	922 	NP_001307077.1	887 
351	XP_005987020.1	372 	XP_685820.3	372 
352	XP_005987021.2	640 	NP_001038217.1	635 
353	XP_005987022.1	1290	NP_571464.1	1309
354	XP_005987023.1	1425	XP_698025.7	1451
355	XP_005987027.1	322 	NP_001017652.1	320 
356	XP_005987029.1	245 	XP_005169110.1	245 
357	XP_005987033.1	372 	XP_009301585.1	347 
358	XP_005987036.2	797 	XP_005169027.1	824 
359	XP_005987038.1	464 	NP_001315204.1	460 
360	XP_005987042.1	249 	NP_998800.2	254 
361	XP_005987046.1	719 	XP_009292113.1	715 
362	XP_005987055.1	416 	XP_021330475.1	416 
363	XP_005987056.1	651 	NP_001003513.1	651 
364	XP_005987067.1	257 	XP_009294764.1	257 
365	XP_005987068.1	641 	NP_001006021.1	641 
366	XP_005987080.1	156 	XP_005172960.1	156 
367	XP_005987084.1	810 	NP_001188286.1	816 
368	XP_005987088.2	416 	XP_021332594.1	416 
369	XP_005987092.1	526 	XP_005166062.1	543 
370	XP_005987093.1	532 	NP_001009897.1	548 
371	XP_005987099.1	625 	NP_001159740.1	625 
372	XP_005987100.1	1442	XP_002666276.2	1476
373	XP_005987103.1	305 	NP_852475.3	305 
374	XP_005987105.1	565 	NP_998214.1	565 
375	XP_005987106.1	936 	NP_958444.1	910 
376	XP_005987116.1	294 	NP_001013588.1	279 
377	XP_005987119.1	421 	XP_017208890.1	416 
378	XP_005987120.1	423 	NP_571788.2	442 
379	XP_005987127.1	129 	NP_001003555.1	129 
380	XP_005987128.1	221 	NP_001007376.2	221 
381	XP_005987131.1	2113	NP_956190.2	2147
382	XP_005987133.1	2136	NP_001116710.1	2205
383	XP_005987137.1	1076	XP_017213744.2	1076
384	XP_005987138.1	1016	NP_001007363.1	1016
385	XP_005987143.1	292 	XP_021328173.1	278 
386	XP_005987145.2	621 	XP_005172958.1	617 
387	XP_005987147.2	583 	NP_956691.1	583 
388	XP_005987154.1	612 	NP_001124066.1	628 
389	XP_005987157.1	522 	NP_001014346.1	522 
390	XP_005987160.1	754 	NP_001007297.1	754 
391	XP_005987164.1	176 	NP_001036786.1	176 
392	XP_005987169.1	158 	NP_001002147.1	158 
393	XP_005987175.2	114 	XP_009302010.1	112 
394	XP_005987177.1	800 	XP_017212782.1	781 
395	XP_005987179.1	246 	NP_956054.1	246 
396	XP_005987181.1	372 	NP_001070630.1	372 
397	XP_005987183.1	493 	XP_005167233.1	489 
398	XP_005987188.2	292 	NP_998202.1	296 
399	XP_005987191.1	715 	XP_009300883.1	715 
400	XP_005987192.1	683 	NP_956332.1	684 
401	XP_005987194.1	801 	XP_021332540.1	818 
402	XP_005987197.1	654 	XP_021331829.1	675 
403	XP_005987199.2	957 	NP_956975.1	951 
404	XP_005987205.1	129 	XP_005167430.1	129 
405	XP_005987206.1	56.2	NP_001082895.1	79.7
406	XP_005987207.1	701 	NP_001015068.1	704 
407	XP_005987208.1	659 	NP_001003743.1	659 
408	XP_005987210.1	357 	NP_997952.1	357 
409	XP_005987211.1	402 	NP_001107090.1	411 
410	XP_005987212.1	295 	NP_001025439.2	295 
411	XP_005987213.1	179 	NP_001013566.1	175 
412	XP_005987215.2	427 	NP_001004541.1	427 
413	XP_005987217.1	259 	NP_998064.2	251 
414	XP_005987218.1	172 	NP_001288258.1	172 
415	XP_005987220.1	132 	NP_001153292.2	126 
416	XP_005987221.1	158 	NP_001005592.1	158 
417	XP_005987222.1	582 	NP_001013534.1	583 
418	XP_005987223.1	167 	NP_001107095.1	163 
419	XP_005987226.1	642 	XP_005172497.3	642 
420	XP_005987227.1	437 	NP_001005988.1	437 
421	XP_005987231.1	590 	XP_017212888.1	592 
422	XP_005987233.1	796 	XP_005172507.2	761 
423	XP_005987234.1	519 	NP_571655.2	544 
424	XP_005987236.2	383 	NP_001003548.1	383 
425	XP_005987237.1	116 	XP_005167443.1	102 
426	XP_005987238.1	659 	NP_001019568.1	659 
427	XP_005987239.1	515 	NP_001008603.2	511 
428	XP_005987240.1	1195	XP_021334012.1	1202
429	XP_005987249.1	419 	XP_005167303.3	419 
430	XP_005987254.1	555 	XP_694153.4	551 
431	XP_005987260.2	803 	XP_003199199.1	803 
432	XP_005987265.1	1737	XP_002665983.2	1738
433	XP_005987275.2	666 	XP_021334217.1	663 
434	XP_005987284.1	952 	NP_570992.2	952 
435	XP_005987285.1	361 	NP_001307458.1	379 
436	XP_005987287.1	686 	NP_998273.1	686 
437	XP_005987292.1	1229	NP_956835.1	1199
438	XP_005987293.1	877 	NP_997832.1	881 
439	XP_005987294.1	153 	XP_021337091.1	156 
440	XP_005987295.1	290 	NP_001093525.1	290 
441	XP_005987296.1	155 	NP_001122251.1	155 
442	XP_005987302.2	659 	XP_009289931.1	668 
443	XP_005987307.2	362 	XP_005157547.1	358 
444	XP_005987309.1	236 	NP_001333341.1	236 
445	XP_005987311.1	876 	XP_021336996.1	895 
446	XP_005987312.2	316 	XP_021337144.1	316 
447	XP_005987313.1	142 	XP_697055.1	142 
448	XP_005987317.1	40.8	NP_001122225.1	37.0
449	XP_005987318.1	222 	NP_571232.1	222 
450	XP_005987321.1	259 	NP_001017744.1	259 
451	XP_005987323.1	1177	XP_696325.5	1156
452	XP_005987324.1	389 	XP_021332324.1	375 
453	XP_005987325.1	273 	NP_937754.2	274 
454	XP_005987326.1	273 	NP_001018556.1	273 
455	XP_005987327.1	1041	XP_001923885.2	1041
456	XP_005987334.1	659 	NP_001124137.1	664 
457	XP_005987339.1	473 	XP_021324909.1	492 
458	XP_005987340.2	696 	XP_009293684.1	696 
459	XP_005987341.1	164 	XP_017206606.1	164 
460	XP_005987343.1	144 	NP_001313533.1	144 
461	XP_005987349.1	249 	XP_005161251.1	249 
462	XP_005987352.1	1514	XP_021328993.1	1516
463	XP_005987353.1	252 	NP_001138268.1	252 
464	XP_005987356.1	77.8	XP_021334690.1	77.8
465	XP_005987359.1	343 	NP_956347.1	341 
466	XP_005987360.1	739 	NP_001038484.1	756 
467	XP_005987361.1	212 	XP_009292046.1	229 
468	XP_005987362.1	674 	NP_001082832.1	682 
469	XP_005987365.1	669 	XP_005167223.1	685 
470	XP_005987368.1	639 	NP_001020338.2	625 
471	XP_005987370.1	493 	NP_001070074.1	496 
472	XP_005987372.1	776 	XP_009302361.1	781 
473	XP_005987374.1	884 	XP_003198622.1	898 
474	XP_005987381.1	400 	XP_005171783.1	400 
475	XP_005987385.1	638 	NP_957299.1	638 
476	XP_005987387.1	261 	NP_956872.1	261 
477	XP_005987389.1	220 	NP_775340.1	220 
478	XP_005987390.1	848 	NP_001119944.1	875 
479	XP_005987394.1	513 	XP_021324680.1	513 
480	XP_005987395.1	487 	XP_021324576.1	487 
481	XP_005987396.1	491 	NP_001039029.2	491 
482	XP_005987397.2	737 	NP_001035099.3	737 
483	XP_005987399.1	870 	XP_683977.2	861 
484	XP_005987407.1	1036	XP_021334941.1	1060
485	XP_005987409.1	1024	XP_021334943.1	1049
486	XP_005987411.1	479 	XP_005174488.1	479 
487	XP_005987414.2	883 	XP_021328991.1	872 
488	XP_005987417.1	1028	XP_009292045.1	1063
489	XP_005987419.1	94.7	NP_001116797.1	94.7
490	XP_005987427.1	1365	NP_001038764.1	1352
491	XP_005987428.1	426 	NP_001307002.1	442 
492	XP_005987430.1	1116	XP_021324427.1	1116
493	XP_005987431.1	1109	NP_001012312.2	1109
494	XP_005987433.1	446 	NP_956977.1	446 
495	XP_005987434.1	554 	NP_001121853.1	560 
496	XP_005987435.2	194 	XP_021332033.1	194 
497	XP_005987438.1	1677	XP_021331880.1	1698
498	XP_005987439.1	646 	NP_001103753.2	659 
499	XP_005987442.1	241 	XP_002667478.1	241 
500	XP_005987443.1	672 	NP_571283.1	672 
501	XP_005987447.1	170 	NP_001074117.1	170 
502	XP_005987448.1	478 	XP_005165584.1	505 
503	XP_005987450.1	183 	XP_005165581.1	180 
504	XP_005987451.2	906 	NP_001007443.1	907 
505	XP_005987455.1	486 	NP_956341.1	477 
506	XP_005987456.1	410 	NP_001073642.1	410 
507	XP_005987464.1	72.4	XP_005169412.1	67.0
508	XP_005987466.1	887 	NP_001314808.1	887 
509	XP_005987467.1	823 	XP_005165655.1	838 
510	XP_005987472.1	364 	NP_001074162.1	369 
511	XP_005987473.1	663 	NP_001122210.1	663 
512	XP_005987474.1	661 	NP_998264.1	661 
513	XP_005987480.1	790 	XP_005166909.1	766 
514	XP_005987481.1	166 	NP_956648.1	148 
515	XP_005987483.1	363 	XP_005161047.1	363 
516	XP_005987488.2	396 	XP_009300052.1	356 
517	XP_005987493.2	285 	NP_001071200.1	286 
518	XP_005987499.1	681 	XP_009300178.1	681 
519	XP_005987500.1	163 	XP_021330025.1	151 
520	XP_005987501.1	1549	NP_001007459.2	1517
521	XP_005987502.1	729 	XP_005157493.1	750 
522	XP_005987506.1	315 	NP_001006060.1	318 
523	XP_005987507.1	787 	NP_001037780.2	791 
524	XP_005987510.1	1333	NP_001107785.1	1297
525	XP_005987517.1	210 	NP_001003615.1	210 
526	XP_005987521.1	586 	XP_017206451.1	569 
527	XP_005987536.1	110 	NP_001153455.1	110 
528	XP_005987537.1	253 	NP_001313327.1	253 
529	XP_005987538.1	236 	NP_001001833.2	218 
530	XP_005987541.1	424 	XP_009290027.1	465 
531	XP_005987542.1	680 	NP_001003611.1	667 
532	XP_005987551.1	2226	NP_001071028.1	2248
533	XP_005987555.1	602 	XP_693820.2	590 
534	XP_005987557.1	511 	XP_692102.5	540 
535	XP_005987558.1	179 	NP_001003456.1	179 
536	XP_005987559.1	204 	NP_001002417.2	204 
537	XP_005987561.1	120 	NP_001070115.2	136 
538	XP_005987562.1	522 	NP_956901.1	500 
539	XP_005987563.1	428 	NP_997970.1	431 
540	XP_005987565.1	455 	XP_691393.2	473 
